epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,82.4332,0.97155,0.86174,1.07666,0.5503,0.57043,0.59863,0.46326,1.07486,1.30311,1.19501,2.94644e-05,2.94644e-05,2.94644e-05
40,83.778,0.97607,0.88671,1.11672,0.55576,0.56718,0.59697,0.46567,1.07665,1.30202,1.19605,2.71082e-05,2.71082e-05,2.71082e-05
41,16.0921,1.00396,0.99797,1.05087,0.55929,0.5579,0.60613,0.46602,1.05911,1.30287,1.18383,2.4752e-05,2.4752e-05,2.4752e-05
42,21.7092,1.01646,0.89394,1.07079,0.59226,0.54719,0.62119,0.46068,1.03681,1.30066,1.17198,2.23958e-05,2.23958e-05,2.23958e-05
43,23.0389,1.00684,0.88116,1.06938,0.59751,0.54307,0.62754,0.46244,1.03767,1.3116,1.17149,2.00396e-05,2.00396e-05,2.00396e-05
44,24.371,0.99533,0.85748,1.06543,0.59596,0.52881,0.62968,0.46322,1.0432,1.31127,1.17408,1.76834e-05,1.76834e-05,1.76834e-05
45,25.7259,1.05178,0.96237,1.09712,0.63002,0.55232,0.63127,0.45736,1.0395,1.32722,1.18201,1.53272e-05,1.53272e-05,1.53272e-05
46,27.0604,0.97811,0.91742,1.08013,0.55738,0.6112,0.64018,0.46424,1.0432,1.33637,1.18237,1.2971e-05,1.2971e-05,1.2971e-05
47,28.4095,0.93055,0.84404,1.03868,0.56228,0.61865,0.63986,0.4541,1.04511,1.35142,1.18373,1.06148e-05,1.06148e-05,1.06148e-05
48,29.7333,0.96254,0.86049,1.05657,0.56153,0.62019,0.63888,0.45593,1.04701,1.35145,1.18386,8.2586e-06,8.2586e-06,8.2586e-06
49,31.0784,0.9613,0.79949,1.0765,0.56672,0.57757,0.62961,0.44964,1.04259,1.34684,1.1789,5.9024e-06,5.9024e-06,5.9024e-06
50,32.4172,0.98968,0.85576,1.05592,0.55751,0.59882,0.62782,0.44586,1.05536,1.35636,1.18817,3.5462e-06,3.5462e-06,3.5462e-06
